DIA,MES,ANO,SRAD,TMAX,TMIN,RAIN,EVAP,WIND,SUNH,RHUM
2,NOV ,1989,26.20,27.6,12.0, 0.0, 6.78,268.8, 86.82, 51
3,NOV ,1989,11.40,27.8,11.0, 2.6, 1.48,  216, 33.33, 78
4,NOV ,1989, 7.70,23.6,12.4, 0.0, 1.46,189.6,  12.4, 81
5,NOV ,1989,24.50,29.6,14.9, 0.0, 7.92,213.6, 76.74, 51
6,NOV ,1989,25.50,30.3,12.6, 0.0,10.54,  336, 89.23, 48
7,NOV ,1989,20.00,30.8,14.4, 0.0, 7.26,261.6, 81.54, 58
8,NOV ,1989,20.90,34.4,15.0, 0.0, 7.86,  240, 86.15, 58
9,NOV ,1989,11.90,27.2,16.8, 1.4,11.72,187.2,  1.54, 71
10,NOV ,1989,14.40,29.2,18.2, 0.5, 4.44,213.6, 27.69, 65
11,NOV ,1989,15.90,29.6,18.4,17.0, 14.9,  228, 24.62, 69
12,NOV ,1989, 5.10,22.8,19.4,34.6,  -99,278.4,     0, 81
13,NOV ,1989,26.20,27.0,17.2, 0.0,  9.3,379.2, 87.79, 49
14,NOV ,1989,23.00,26.8,11.6, 0.0, 6.82,230.4, 93.89, 54
15,NOV ,1989,25.40,29.4,13.4, 0.0, 7.64,  192, 90.84, 54
16,NOV ,1989,24.00,31.6,13.8, 0.0,  7.9,218.4, 84.73, 54
17,NOV ,1989,21.80,31.2,15.2, 0.0, 7.29,273.6, 76.34, 63
18,NOV ,1989,16.70,29.6,17.6, 0.0, 5.75,237.6, 28.03, 60
19,NOV ,1989, 6.20,25.8,18.4, 4.3, 0.88,165.6,     0, 83
20,NOV ,1989,17.20,31.6,19.9,15.0, 4.01,206.4, 32.58, 67
21,NOV ,1989,10.90,27.4,19.4, 8.9,  4.2,  192, 28.03, 76
22,NOV ,1989,19.80,31.2,19.4, 0.0, 4.88,201.6, 37.12, 70
23,NOV ,1989,17.70,32.4,20.0, 0.4, 5.26,  192, 49.24, 70
24,NOV ,1989,17.10,31.6,19.9, 1.5, 6.88,237.6, 47.73, 64
25,NOV ,1989,23.20,28.2,19.2, 0.0,  9.2,316.8, 87.12, 54
26,NOV ,1989,26.10,30.6,13.8, 0.0, 7.68,184.8, 83.46, 47
27,NOV ,1989,19.00,33.2,15.0,13.7,  9.1,242.4, 63.91, 63
28,NOV ,1989,19.70,29.4,18.2, 0.0,  5.9,201.6, 55.64, 69
29,NOV ,1989,17.60,30.2,18.6, 0.0,    7,345.6, 57.14, 64
30,NOV ,1989,18.80,30.2,17.8, 0.0, 7.34,345.6, 72.18, 59
1,DEZ ,1989,24.20,29.6,17.2, 0.0, 9.48,427.2, 75.19, 55
2,DEZ ,1989,23.20,29.8,16.8, 0.0, 6.78,321.6, 83.46, 60
3,DEZ ,1989,22.70,31.2,15.2, 0.0, 8.26,  180,  79.7, 56
4,DEZ ,1989,20.40,32.4,16.4, 0.0,  6.9,249.6, 84.21, 47
5,DEZ ,1989,21.70,32.2,16.8, 0.0, 8.02,237.6, 82.71, 54
6,DEZ ,1989,19.20,33.6,16.8, 0.0, 9.58,290.4, 81.95, 56
7,DEZ ,1989,19.50,33.6,17.4, 0.0, 8.22,220.8, 75.94, 54
8,DEZ ,1989,20.20,34.5,16.4, 0.0, 8.32,  192, 73.88, 55
9,DEZ ,1989,18.00,33.2,16.8, 0.0, 6.72,220.8, 42.54, 52
10,DEZ ,1989,10.00,28.2,16.6, 7.0,  1.7,  216,  2.99, 76
11,DEZ ,1989,13.80,29.8,20.6,26.4,  -99,  180, 38.81, 74
12,DEZ ,1989,17.80,29.6,21.4, 2.6,  4.4,220.8, 41.04, 78
13,DEZ ,1989,17.70,31.0,20.4,20.0,10.38,  192,    50, 73
14,DEZ ,1989,18.80,30.6,20.0, 0.0, 6.76,  372, 55.97, 64
15,DEZ ,1989,22.40,30.0,20.6, 0.0,10.44,  612, 68.66, 60
16,DEZ ,1989,21.40,32.2,18.4, 0.0, 8.42,297.6, 85.82, 55
17,DEZ ,1989,20.30,31.0,19.4, 0.0, 8.18,  360, 56.72, 52
18,DEZ ,1989,18.30,30.2,19.0, 2.1, 0.32,357.6, 41.04,-99
19,DEZ ,1989, 6.70,21.2,18.6, 5.9, 2.44,  384,     0,-99
20,DEZ ,1989,12.20,24.0,16.2, 0.0, 4.68,355.2, 16.42,-99
21,DEZ ,1989,26.30,28.8,13.0, 0.0, 6.76,184.8, 87.31,-99
22,DEZ ,1989,21.30,31.8,14.6, 0.0,  6.6,  192, 94.03,-99
23,DEZ ,1989,21.60,33.2,16.8, 0.0, 9.16,  228, 82.09,-99
24,DEZ ,1989,23.20,32.0,16.6, 0.0,   10,254.4, 88.06,-99
25,DEZ ,1989,21.60,32.6,15.9, 1.7, 7.58,  216, 64.18, 59
26,DEZ ,1989, 9.00,27.4,17.4,10.3, 3.76,232.8,     0, 83
27,DEZ ,1989, 6.70,25.4,18.4,58.3,  -99,148.8,  2.24, 87
28,DEZ ,1989, 7.20,23.4,18.0,23.3,  -99,254.4,     0, 88
29,DEZ ,1989, 7.40,23.2,18.2,18.1, 1.36,343.2,     0, 87
30,DEZ ,1989,12.40,25.8,18.6,11.3, 2.56,333.6,  8.21, 82
31,DEZ ,1989,16.40,29.2,19.2, 8.1, 4.56,247.2, 26.87, 78
1,JAN,1990,13.2,29.2,20.2,26.8,  -99,206.4,24.63, 78
2,JAN,1990,10.0,26.4,19.6,62.0,  -99,  156,10.45, 84
3,JAN,1990,15.6,27.4,19.0, 0.0,  5.4,254.4,41.04, 72
4,JAN,1990,16.9,30.2,17.2,61.0,  -99,232.8,38.35, 73
5,JAN,1990,10.4,28.2,18.2,17.1, 2.56,148.8, 3.76, 79
6,JAN,1990,13.6,30.4,20.0,12.3,  5.6,146.4,36.84, 77
7,JAN,1990,19.6,30.4,19.8, 0.0, 5.68,136.8,56.39, 72
8,JAN,1990,12.8,29.2,20.4, 1.6,  1.7,136.8, 9.77, 73
9,JAN,1990, 9.1,26.8,20.6, 7.1, 1.78,151.2, 5.26, 79
10,JAN,1990,11.9,28.8,20.4,25.4,  -99,232.8, 9.02, 76
11,JAN,1990,14.6,29.4,19.8, 6.3, 4.18,249.6,21.05, 75
12,JAN,1990,18.0,31.0,20.2,13.3, 5.28,230.4,57.89, 69
13,JAN,1990,21.6,31.3,18.6, 0.0,  5.3,146.4,57.89, 70
14,JAN,1990,18.7,33.8,19.4, 0.0, 8.06,151.2,84.21, 60
15,JAN,1990,18.6,34.2,20.8,18.6, 8.92,208.8,70.68, 64
16,JAN,1990,19.8,32.0,20.2, 1.2,  5.9,  216,53.03, 72
17,JAN,1990,22.0,33.4,20.2, 0.4, 7.18,163.2,81.82, 60
18,JAN,1990,20.0,34.6,20.9, 0.0, 7.72,199.2,63.64, 59
19,JAN,1990,18.5,31.8,21.0, 0.2, 6.96,266.4,70.45, 65
20,JAN,1990,18.5,32.4,18.8, 0.0, 5.44,153.6,57.58, 64
21,JAN,1990,18.5,32.6,19.2, 0.0, 7.92,  180,46.97, 66
22,JAN,1990,20.6,32.6,19.2, 8.1,10.86,259.2,54.55, 70
23,JAN,1990,20.9,32.4,19.8, 0.0, 6.56,163.2,65.91, 64
24,JAN,1990,20.9,33.8,19.6, 0.0, 7.28,134.4,83.21, 61
25,JAN,1990,20.4,33.6,20.4, 0.0, 7.46,160.8,58.02, 64
26,JAN,1990,17.6,34.8,20.0, 0.0, 7.32,213.6,42.75, 64
27,JAN,1990,19.7,33.4,20.4,10.0, 7.58,165.6,63.36, 70
28,JAN,1990,22.3,32.2,18.8, 0.0, 5.98,232.8,83.97, 60
29,JAN,1990,21.9,33.0,18.8, 0.0, 9.48,196.8, 91.6, 54
30,JAN,1990,22.5,33.8,18.8, 0.0, 7.58,148.8,81.54, 58
31,JAN,1990,20.3,34.8,19.6, 0.0, 8.16,146.4,65.38, 53
1,FEV,1990,18.7,33.8,18.8, 0.5, 6.24,213.6,47.69, 68
2,FEV,1990,21.3,32.8,19.4, 0.0, 8.24,235.2,58.46, 57
3,FEV,1990,19.2,32.2,19.4, 0.0, 7.14,184.8,60.77, 56
4,FEV,1990,22.6,33.4,18.0, 0.0,10.16,285.6,85.38, 57
5,FEV,1990,19.4,33.0,18.4,14.3,12.66,237.6,71.32, 64
6,FEV,1990,18.9,32.6,18.4, 0.0, 5.22,141.6,63.57, 74
7,FEV,1990,19.1,32.0,16.6, 0.0, 4.88,  108,64.34, 68
8,FEV,1990,20.0,34.2,16.9, 0.0, 6.57,158.4,63.57, 68
9,FEV,1990,19.5,35.2,19.6, 0.0, 8.26,  156,82.17, 62
10,FEV,1990,19.6,33.8,20.2, 0.0, 7.52,196.8,68.99, 68
11,FEV,1990,18.4,33.6,20.6, 0.0, 6.64,184.8,66.41, 61
12,FEV,1990,16.3,34.2,20.4,31.4,14.46,  180,52.34, 70
13,FEV,1990,14.3,30.8,19.8,10.0, 3.76,165.6, 37.5, 75
14,FEV,1990,17.2,29.6,20.8, 0.0,  4.9,  156,47.66, 73
15,FEV,1990,19.2,32.0,19.8, 0.0,  -99,  168,85.94, 66
16,FEV,1990,19.6,32.6,18.8, 0.0, 7.54,199.2, 87.4, 56
17,FEV,1990,21.4,32.4,19.4, 0.0, 9.04,124.8, 93.7, 55
18,FEV,1990,21.9,32.8,18.0, 0.0, 6.52,230.4,88.19, 58
19,FEV,1990,20.4,31.2,19.2, 0.0,11.08,364.8,85.83, 57
20,FEV,1990,22.8,32.6,16.8, 0.0, 7.16,175.2,88.98, 56
21,FEV,1990,19.9,33.6,16.2, 0.0, 7.66,  168,84.92, 57
22,FEV,1990,13.5,33.0,19.2,38.8,  -99,175.2,40.48, 75
23,FEV,1990,13.7,27.2,19.6,10.4, 4.68,182.4,23.81, 82
24,FEV,1990,15.4,30.2,18.2, 8.9, 4.22,  192,55.56, 78
25,FEV,1990,11.7,27.0,19.2,11.1, 1.78,189.6,17.46, 85
26,FEV,1990,17.7,30.8,18.4, 0.0,  5.4,201.6, 68.8, 68
27,FEV,1990,20.5,29.4,19.0, 0.0, 5.22,199.2, 51.2, 68
28,FEV,1990, 6.2,24.8,19.2,20.5, 3.26,184.8,  8.8, 86
1,MAR,1990,18.6,29.6,17.0, 4.2, 3.84,136.8, 58.4, 78
2,MAR,1990,19.2,33.2,17.8,19.6, 10.7,189.6,   72, 74
3,MAR,1990,18.8,32.2,17.6,20.2, 9.04,  120,73.39, 74
4,MAR,1990,18.2,31.4,17.8, 0.0, 5.44,  192,85.48, 69
5,MAR,1990,17.9,33.8,18.4, 0.0,  6.1,160.8,80.65, 65
6,MAR,1990,10.5,28.6,20.0,23.7, 8.56,213.6,16.94, 76
7,MAR,1990,18.3,32.6,18.2,11.1, 6.46,146.4,75.61, 70
8,MAR,1990,18.1,32.4,19.6, 0.5, 5.74,170.4,70.73, 73
9,MAR,1990,15.2,31.4,19.0, 2.4, 4.62,  132,61.79,-99
10,MAR,1990,16.0,32.2,18.4, 8.4, 6.62,127.2,47.15,-99
11,MAR,1990,18.5,32.8,19.0, 0.6, 5.98,  156,77.24,-99
12,MAR,1990,19.9,32.8,20.0, 0.0,  7.1,146.4,82.79, 65
13,MAR,1990,19.2,34.2,20.2, 0.0, 6.12,115.2,84.43, 64
14,MAR,1990,19.2,34.2,20.2, 0.0, 6.84,146.4,73.77, 64
15,MAR,1990,15.6,32.2,21.2, 0.0, 4.62,141.6,36.89, 66
16,MAR,1990,14.9,33.6,19.6, 0.3, 7.02,  168,77.69, 68
17,MAR,1990,17.1,32.8,20.2,12.2, 8.06,206.4,69.42, 69
18,MAR,1990,16.4,31.6,20.4,61.1,  -99,208.8,49.59, 75
19,MAR,1990,10.5,25.6,20.0, 0.8, 2.02,194.4, 4.13, 81
20,MAR,1990, 6.9,26.0,20.0, 0.5, 1.56,146.4,    0, 75
21,MAR,1990,10.9,28.0,20.2,13.8, 3.26,103.2, 8.33, 81
22,MAR,1990, 6.4,25.4,19.8,50.4,  -99,  108,    0, 85
23,MAR,1990,11.3,27.4,18.8, 0.0,  6.9,105.6,23.33, 79
24,MAR,1990,11.6,29.6,19.0, 0.0, 3.78,139.2,38.33, 75
25,MAR,1990,17.3,30.0,18.2, 0.0, 4.88,136.8,80.67, 69
26,MAR,1990,17.2,31.8,17.8, 2.9, 6.07,170.4,84.03, 65
27,MAR,1990, 4.7,23.6,19.0, 7.2, 0.72,  144,    0, 83
28,MAR,1990,17.2,30.4,18.0, 0.3,  3.3,141.6,68.91, 70
29,MAR,1990,16.6,33.2,18.4, 0.0, 4.38, 98.4,62.71, 67
30,MAR,1990,18.0,32.8,19.0, 0.0, 4.68,124.8, 83.9, 63
31,MAR,1990,13.6,32.4,18.0, 0.0, 6.82,175.2,77.12, 63
1,ABR,1990,17.7,32.2,17.8, 0.0,  5.3,136.8,77.97, 64
2,ABR,1990,18.4,32.0,17.0, 0.0, 6.24,139.2,85.59, 62
3,ABR,1990,19.1,32.4,19.2, 0.0, 6.22,165.6,87.18, 65
4,ABR,1990,19.2,32.6,18.0, 0.0, 4.94,141.6,82.91, 68
5,ABR,1990,18.5,33.4,19.0, 0.0, 5.78,  156,88.03, 65
6,ABR,1990,15.1,33.8,20.0, 0.0, 5.41,136.8, 54.7, 66
7,ABR,1990,15.5,33.8,20.4, 0.0, 5.29,148.8,67.24, 69
8,ABR,1990,17.0,33.2,19.6, 0.0,  5.4,208.8,73.28, 68
9,ABR,1990,17.1,31.8,19.6, 0.0, 5.64,  180,83.62, 69
10,ABR,1990,19.3,31.0,18.4, 0.0, 6.38,170.4,92.24, 61
11,ABR,1990,20.1,30.2,14.4, 0.0,  6.5,  228,90.52, 61
12,ABR,1990,19.3,31.2,15.4, 0.0, 5.32,146.4,86.09, 62
13,ABR,1990,15.2,32.0,16.6, 0.0, 3.74,  156,53.91, 66
14,ABR,1990,16.7,32.2,17.8, 0.0, 5.34,165.6,66.96, 63
15,ABR,1990,15.0,33.0,18.4, 0.0, 4.46,232.8,70.43, 67
16,ABR,1990,14.2,31.2,18.6, 0.0,  4.3,182.4,66.09, 64
17,ABR,1990,10.0,28.4,19.0, 0.0, 1.04,196.8,23.68, 81
18,ABR,1990, 6.7,22.4,16.8,12.9, 5.14,290.4,    0, 78
19,ABR,1990, 5.3,20.4,15.4,13.6, 5.24,  132,    0, 78
20,ABR,1990,10.3,26.4,15.6, 0.1, 1.88,189.6, 6.14, 76
21,ABR,1990,16.1,29.6,18.2, 0.0, 2.04,112.8,67.26, 70
22,ABR,1990,16.8,30.4,17.4, 0.0, 4.78,201.6,91.15, 68
23,ABR,1990,17.3,31.2,16.8, 0.0, 4.84,172.8,92.04, 63
24,ABR,1990,15.1,31.4,16.8, 0.0,  4.3,129.6,89.38, 65
25,ABR,1990,14.6,31.4,17.0, 0.0, 4.08,136.8,90.27, 65
26,ABR,1990,15.1,31.4,16.0, 0.0, 4.36,163.2,96.43, 64
27,ABR,1990,14.5,31.2,16.0, 0.0, 4.58,194.4, 87.5, 65
28,ABR,1990,13.6,31.6,16.2, 0.0, 4.22,165.6,75.89, 61
29,ABR,1990,12.9,31.6,17.0, 5.3, 0.21,182.4,58.04, 66
30,ABR,1990, 9.2,25.4,18.6, 5.3, 4.81,  168,20.54, 80
1,MAI,1990,12.8,25.2,13.6,19.7, 4.26,  192,61.61, 74
2,MAI,1990,10.2,23.2,13.6, 0.0,  1.9,110.4,28.83, 81
3,MAI,1990,16.7,26.6,12.8, 0.0, 3.84,  144,76.58, 74
4,MAI,1990,15.3,26.6,12.0, 0.0, 3.78,  192,92.79, 72
5,MAI,1990,13.9,26.4,12.1, 0.0, 2.82,115.2,64.86, 74
6,MAI,1990,11.0,25.2,13.2, 2.2,  1.5,148.8,38.74, 83
7,MAI,1990,14.1,28.2,14.2, 0.0, 4.22,117.6,67.27, 74
8,MAI,1990,15.1,28.8,13.2, 0.0,    4,172.8,   70, 68
9,MAI,1990,15.3,28.8,13.4, 0.0, 3.56,163.2,88.18, 69
10,MAI,1990,16.4,28.8,14.0, 6.3,  3.7,187.2,85.45, 66
11,MAI,1990, 3.6,22.0,14.6, 0.5,  1.2,182.4,    0, 85
12,MAI,1990,12.6,23.2,16.0, 0.0, 4.32,  312,60.91, 69
13,MAI,1990,15.1,26.8,13.0, 0.0, 3.24,175.2,88.99, 69
14,MAI,1990,14.2,27.8,11.9, 0.0,    3,141.6,71.56, 68
15,MAI,1990, 3.7,22.4,13.0,13.6, 0.86,134.4,    0, 85
16,MAI,1990, 7.7,16.4,15.2, 0.2, 3.18,  108, 6.42, 81
17,MAI,1990,12.2,26.8,17.8, 4.2, 4.22,367.2,49.54, 76
18,MAI,1990,14.9,17.4,12.2, 0.0, 4.26,379.2,89.91, 56
19,MAI,1990,15.6,19.2, 3.2, 0.0, 3.33,136.8,88.07, 65
20,MAI,1990,15.6,24.2, 5.0, 0.0, 1.79, 98.4,   75, 65
21,MAI,1990,12.3,23.0, 6.2, 0.0,  3.7,184.8,62.04, 72
22,MAI,1990,14.8,20.8, 7.0, 0.0, 2.88,160.8,89.81, 65
23,MAI,1990,16.4,22.4, 3.8, 0.0, 2.28,   96,94.44, 67
24,MAI,1990,14.9,28.2, 4.4, 0.0, 2.86,196.8,81.48, 71
25,MAI,1990,15.0,28.2, 5.8, 0.0, 3.52,194.4,98.15, 65
26,MAI,1990,13.4,27.0, 9.6, 0.0, 3.02,  204,90.74, 67
27,MAI,1990,13.6,28.6,10.0, 0.0, 3.28,  192, 78.7, 63
28,MAI,1990,11.9,29.2,11.4, 0.4,  2.6,  156,70.09, 71
29,MAI,1990,10.0,27.6,12.8, 0.0, 2.46,  168,36.45, 73
30,MAI,1990,13.3,29.0,12.8, 0.0, 4.16,  228,91.59, 65
31,MAI,1990,13.5,29.0,13.4, 0.0,  3.9,230.4,82.24, 63
1,JUN,1990,10.8,27.6,14.2, 0.0, 2.44,  168,41.12, 73
2,JUN,1990,12.9,28.8,13.4, 0.0,  3.2,  156, 78.5, 69
3,JUN,1990,10.7,25.4,13.4, 0.0, 2.64,220.8,32.71, 75
4,JUN,1990,12.9,28.6,13.8, 0.0, 3.62,  192,91.59, 65
5,JUN,1990,14.1,29.0,13.4, 0.0, 3.76,268.8,89.72, 57
6,JUN,1990,11.3,29.2,13.8, 0.0, 7.64,  132,58.88, 67
7,JUN,1990, 9.2,23.8,15.0, 0.0, 2.36,127.2,35.51, 84
8,JUN,1990,10.2,28.2,12.6, 0.0, 2.01,134.4,54.72, 80
9,JUN,1990,12.3,29.6,13.4, 0.0, 3.29,163.2,83.96, 65
10,JUN,1990,10.4,28.2,13.8, 0.0, 4.98,266.4,70.75, 66
11,JUN,1990, 9.8,18.4,12.2, 0.0, 5.18,367.2,47.17, 71
12,JUN,1990,13.6,25.4, 9.2, 0.0, 2.76,184.8,90.57, 69
13,JUN,1990,13.2,25.5,10.0, 0.0, 2.76,184.8, 78.3, 68
14,JUN,1990,11.7,28.2,10.7, 4.9, 0.18,225.6,73.58, 69
15,JUN,1990, 9.1,22.0, 9.6, 0.0, 2.32,146.4,50.94, 80
16,JUN,1990,11.9,22.8, 9.6, 0.0, 2.82,172.8,50.94, 75
17,JUN,1990,13.2,22.6, 7.6, 0.0, 2.52,163.2,69.81, 71
18,JUN,1990,12.0,24.4, 6.4, 0.0,  1.6,117.6,62.26, 73
19,JUN,1990,11.8,27.4, 6.2, 0.0,  2.2,124.8,72.64, 70
20,JUN,1990, 9.5,27.2, 8.2, 7.4, 1.32,  324,60.38, 62
21,JUN,1990,13.8,28.2,10.9, 0.0, 3.42,295.2,88.68, 68
22,JUN,1990,14.5,19.6, 5.0, 0.0, 1.76,172.8, 93.4, 65
23,JUN,1990,13.9,22.8, 2.4, 0.0, 3.36,189.6,79.25,-99
24,JUN,1990,13.5,25.0, 2.6, 0.0, 2.14,172.8,89.62,-99
25,JUN,1990,11.0,24.2, 3.0, 0.4, 1.92,146.4,58.49, 64
26,JUN,1990, 9.0,24.2, 7.4, 0.0,  2.7,122.4,   50, 68
27,JUN,1990,13.2,23.9, 9.6, 0.0, 2.14,117.6,81.13, 75
28,JUN,1990,11.3,24.9, 8.6, 0.0, 1.42,  108,55.66, 72
29,JUN,1990,11.0,25.4, 8.4, 0.0,  3.9,122.4,59.43, 70
30,JUN,1990,11.9,26.4, 8.0, 0.0, 2.48,139.2,65.09, 68
1,JUL,1990,12.2,25.6, 8.2, 0.0, 2.26,117.6,65.09, 71
2,JUL,1990,12.0,26.8, 9.8, 0.0,  3.1, 86.4,68.87, 70
3,JUL,1990,10.5,27.8,10.2, 0.0, 2.58,117.6,54.72, 70
4,JUL,1990,11.7,28.8,10.4, 1.3, 2.74,182.4,89.62, 57
5,JUL,1990, 8.8,25.4,10.8, 4.2, 2.02,201.6,   50, 82
6,JUL,1990,14.2,25.2, 9.8,28.6,  -99,201.6,83.18, 69
7,JUL,1990,13.5,24.0, 9.8, 0.0, 2.24,   96,82.24, 76
8,JUL,1990,11.2,26.2, 9.8, 0.0, 2.42,165.6,61.68, 69
9,JUL,1990,11.4,28.2, 9.0, 1.0, 2.24,184.8,67.29, 65
10,JUL,1990, 2.9,19.2, 9.8, 1.0, 0.48,103.2, 0.93, 88
11,JUL,1990, 9.5,19.4,12.8, 0.0, 2.88,362.4,44.86, 72
12,JUL,1990,13.5,21.2, 6.2, 0.0,  4.3,393.6,87.85, 61
13,JUL,1990,14.4,22.6, 7.2, 0.0, 4.52,319.2,81.31, 56
14,JUL,1990,12.4,24.4, 8.8, 0.0, 2.96,158.4,93.46, 64
15,JUL,1990,13.0,27.2, 8.2, 0.8,  2.7,  156,69.16, 62
16,JUL,1990, 5.8,20.8, 8.4,21.4,  -99,235.2, 1.87, 87
17,JUL,1990,10.1,25.2,14.0, 5.7, 1.34,230.4,52.78, 83
18,JUL,1990, 8.2,27.2,14.6,36.6,  -99,213.6,37.04, 86
19,JUL,1990,13.2,28.8,16.2, 4.0, 4.02,211.2,87.96, 78
20,JUL,1990,10.6,25.4,15.2, 0.0, 4.45,148.8,   50, 82
21,JUL,1990, 2.8,15.1,11.8, 1.2, 1.35,211.2,    0, 88
22,JUL,1990, 6.7,16.6, 9.9, 0.0,  1.6,316.8, 4.63, 74
23,JUL,1990, 5.3,16.8, 9.8,14.1, 1.55,172.8, 0.93, 87
24,JUL,1990,10.1,27.6,10.4, 2.6, 2.06,223.2,30.56, 76
25,JUL,1990, 8.7,25.2,13.9, 8.8,  4.2,134.4, 57.8, 79
26,JUL,1990,13.2,28.8,11.0, 0.0, 2.36,158.4,74.31, 68
27,JUL,1990,12.2,27.5,11.6, 3.3, 5.41,340.8,75.23, 71
28,JUL,1990,15.8,18.6, 8.7, 0.0, 3.62,256.8,79.82, 63
29,JUL,1990,17.2,19.6, 1.8, 0.0, 3.31,  132,95.41,-99
30,JUL,1990,16.6,19.2, 2.2, 0.0, 3.68,211.2, 94.5,-99
31,JUL,1990,17.1,18.4, 3.6, 0.0, 3.89,266.4,91.74,-99
1,AGO,1990,15.5,22.3, 4.4, 0.0, 3.03,187.2,   90,-99
2,AGO,1990,14.6,25.0, 4.5, 0.0,  2.5,134.4,80.91,-99
3,AGO,1990, 8.9,23.6, 6.6, 0.0, 2.56,105.6,39.09,-99
4,AGO,1990,15.0,26.8, 8.8, 0.0, 3.12,201.6,81.82,-99
5,AGO,1990,15.9,23.9, 8.4, 0.0,  4.5,309.6,90.91,-99
6,AGO,1990,15.0,25.7, 9.7, 0.0, 5.51,259.2,78.18,-99
7,AGO,1990,13.7,26.0, 8.7, 0.0, 2.66,170.4,75.68, 72
8,AGO,1990,14.4,28.4, 9.3, 0.0, 4.67,136.8,89.19, 68
9,AGO,1990,14.3,28.3,10.7, 0.0, 4.29,153.6,80.18, 71
10,AGO,1990,14.3,27.9,10.8, 0.0, 4.44,  156,86.49, 72
11,AGO,1990,15.6,27.7, 8.2, 0.0, 3.15,112.8,89.19, 71
12,AGO,1990,14.1,28.5, 8.3, 0.0, 3.61,  132, 62.5, 68
13,AGO,1990,15.6,29.0, 8.8, 0.0, 5.02,158.4,88.39, 61
14,AGO,1990,16.6,29.2, 9.9, 0.0, 4.98,196.8,89.29, 56
15,AGO,1990,15.7,30.6,10.4, 0.0, 4.58,  192,84.82, 62
16,AGO,1990, 7.7,28.5,13.4, 5.7, 3.56,256.8,15.18, 72
17,AGO,1990, 4.8,22.2,16.5, 4.1, 1.17,139.2, 4.46, 92
18,AGO,1990, 8.0,23.1,15.0, 1.3, 1.38,172.8,18.58, 89
19,AGO,1990, 8.5,29.8,15.3,19.0, 4.48,  252,22.12, 80
20,AGO,1990,12.0,28.7,16.1, 0.0, 3.51,199.2,42.48, 80
21,AGO,1990,15.9,25.2,16.1, 0.0, 5.64,328.8,63.72, 80
22,AGO,1990, 9.8,21.2,13.6, 0.0, 4.04,417.6, 3.54, 80
23,AGO,1990, 4.1,17.2,13.7, 0.0, 2.74,458.4,    0, 76
24,AGO,1990,18.0,23.1,13.3, 0.0, 5.88,340.8,70.18, 72
25,AGO,1990,12.3,24.4,10.9, 0.0, 3.43,  228,31.58, 74
26,AGO,1990,15.9,28.4,11.5, 0.0,  4.6,247.2,71.93, 65
27,AGO,1990, 4.3,26.1,12.5,10.8, 2.29,271.2,12.17, 90
28,AGO,1990, 6.9,20.6,15.1, 0.0, 2.22,278.4, 0.87, 88
29,AGO,1990,17.9,20.9,10.3, 0.0, 4.19,259.2,63.48, 77
30,AGO,1990,17.0,27.1, 8.2, 0.0, 3.01,136.8,79.13, 75
31,AGO,1990, 9.9,26.4, 9.9, 0.0, 2.74,187.2, 6.09, 80
1,SET,1990, 7.6,24.4,15.2,11.0,  4.5,232.8,22.41, 88
2,SET,1990, 8.5,22.9,15.1, 0.0, 2.88,232.8, 8.62, 85
3,SET,1990,18.5,25.3,10.2, 0.0, 4.88,254.4,80.17, 79
4,SET,1990,18.1,26.6,10.7, 0.0, 4.43,232.8,87.07, 78
5,SET,1990,15.8,26.3,12.9, 0.0, 3.55,194.4,57.76, 80
6,SET,1990,17.2,28.2,13.2, 0.0, 4.94,  204,70.94, 75
7,SET,1990, 9.7,26.0,14.7, 0.3, 1.95,165.6,    0, 86
8,SET,1990, 7.0,24.4,16.2, 0.0, 2.06,182.4, 5.98, 88
9,SET,1990,20.4,26.5,11.9, 0.0, 6.13,172.8,82.05, 58
10,SET,1990,20.1,29.4,10.3, 0.0, 6.26,172.8,90.68, 61
11,SET,1990,19.4,32.8,10.0, 0.0, 6.79,237.6,88.98, 52
12,SET,1990,14.1,32.6,11.5, 3.7, 6.62,355.2,48.31, 68
13,SET,1990, 2.6,19.6,17.2,30.8, 2.93,340.8,    0, 95
14,SET,1990, 5.7,14.8, 8.6, 0.0, 1.99,302.4,    0, 83
15,SET,1990,13.0,20.3, 8.2, 0.0, 3.44,232.8, 43.7, 73
16,SET,1990,22.0,25.2, 4.8, 0.0, 3.83,136.8,90.76, 70
17,SET,1990,19.0,28.3, 8.0, 0.0, 4.35,129.6,71.43, 68
18,SET,1990,18.6,31.4, 9.3, 0.0,  4.9,172.8,69.75, 66
19,SET,1990,18.6,33.5,10.5, 0.0, 6.26,  168, 87.5, 56
20,SET,1990,17.9,34.0,15.2, 0.0, 6.16,220.8,78.33, 60
21,SET,1990,15.1,32.9,17.0, 0.0,  4.7,199.2,49.17, 74
22,SET,1990,10.7,30.5,16.9, 2.1, 4.34,  264,26.67, 77
23,SET,1990,10.7,25.4,17.5, 0.6, 2.83,280.8,16.53, 87
24,SET,1990,10.0,18.5,14.2, 0.0,  4.4,  444, 7.44, 74
25,SET,1990,18.0,21.1,10.0, 0.0, 5.33,376.8,62.81, 69
26,SET,1990,23.1,26.1, 7.9, 0.0, 5.91,237.6,89.26, 63
